,mean_abs_SHAP,gain_norm,rank_shap
edad,1.3864824977583492,0.10630909547318217,1
n_consultas_T,1.029142525244631,0.0919588318969124,2
REG_1 REG BOGOTA,0.22459914574752787,0.009287925696594427,3
tiene_avicena,0.18048588806990967,0.0009622625721696929,4
tiempo_afiliacion,0.1472992648986523,0.06919923018994227,5
IMC,0.11594093817036148,0.1172705212952891,6
PERIMETRO_ABDOMINAL,0.10558603465769917,0.06811145510835913,7
TALLA,0.09827680033715809,0.07660446824533512,8
proxy_menopausia,0.09810083522785183,0.0025939251945443897,9
MENARQUIA,0.09487441039146628,0.023972889297966697,10
TENSION_ARTERIAL_SISTOLE,0.08323504538019079,0.05614592921094469,11
REG_3 REG BARRANQUILLA,0.07562163776445087,0.007363400552255041,12
TENSION_ARTERIAL_DIASTOLE,0.07079750735558084,0.045435528407664634,13
REG_5 REG MEDELLIN,0.06479912526109963,0.007907288093046607,14
COLESTEROL_LDL,0.057773941805535245,0.043552840766463055,15
remision_gine,0.05076111086892392,0.011463475859760689,16
TRIGLICERIDOS,0.03893807273323739,0.04769475357710652,17
COLESTEROL_HDL,0.03641142165411125,0.04438959082921931,18
COLESTEROL_TOTAL,0.03581442731233047,0.04208852815663961,19
hta,0.03377268531504466,0.005940925445569408,20
REG_4 REG BUCARAMANGA,0.028021659184385164,0.007028700527152539,21
riesgo_alto,0.02778076202840417,0.007154213036565978,22
REG_6 REG CENTRO ORIENTE,0.02418658033695515,0.005982762948707221,23
HEMOGLOBINA_GLICOSILADA,0.021734284183979314,0.02886787716509079,24
delta_COLESTEROL_LDL,0.020325707091648028,0.006861350514601288,25
remision_endo,0.014898778250815635,0.0038908877918165845,26
dm,0.013415037566732145,0.0019245251443393858,27
REG_2 REG CALI,0.012170331976575,0.0044347753326081495,28
delta_TRIGLICERIDOS,0.010261593030780784,0.008618525646389423,29
delta_COLESTEROL_TOTAL,0.007972043541657679,0.009036900677767551,30
biopsia,0.007198507480324032,0.003807212785540959,31
ZONA_U,0.006785777984850562,0.0011296125847209439,32
MENARQUIA_disponible,0.0059974234493825225,0.0010041000753075056,33
ZONA_R,0.005894319536830558,0.0016735001255125093,34
PERIMETRO_ABDOMINAL_disponible,0.005749441101831381,0.0012969625972721948,35
delta_HEMOGLOBINA_GLICOSILADA_disponible,0.005563829343978435,0.0015479876160990713,36
delta_COLESTEROL_TOTAL_disponible,0.0054916584798425155,0.0012132875909965694,37
delta_HEMOGLOBINA_GLICOSILADA,0.005314674083390905,0.006610325495774412,38
delta_COLESTEROL_HDL,0.004730930000798494,0.008200150615011297,39
delta_TRIGLICERIDOS_disponible,0.004308157480396375,0.0010459375784453184,40
cancer,0.004238528493159956,0.0020082001506150113,41
FUMA_O_HA_FUMADO,0.00406960503510641,0.001422475106685633,42
COLESTEROL_LDL_disponible,0.0037138008220310615,0.00020918751568906366,43
delta_COLESTEROL_LDL_disponible,0.0036166117788202384,0.0008367500627562547,44
TENSION_ARTERIAL_SISTOLE_disponible,0.0027885934115980827,8.367500627562547e-05,45
delta_COLESTEROL_HDL_disponible,0.002747503178250764,0.0009204250690318801,46
imc_disponible,0.002037271890784158,0.0005020500376537528,47
riesgo_alto_disponible,0.0018827796741963674,0.0005857250439293783,48
HEMOGLOBINA_GLICOSILADA_disponible,0.0013981833423331055,0.0010459375784453184,49
TALLA_disponible,0.0010270570330607892,0.00016735001255125095,50
COLESTEROL_TOTAL_disponible,0.0006140208706016414,0.0002510250188268764,51
COCINA_RECINTO_CERRADO,0.0005438072309060729,0.0006694000502050038,52
familiar_cancer_mama,0.0005076119985968214,0.0008785875658940674,53
ES_HA_SIDO_FUMADOR_PASIVO,0.00037752353983135014,0.0003347000251025019,54
TRIGLICERIDOS_disponible,0.00020553010732966205,0.00016735001255125095,55
familiar_cancer,5.404599209774069e-05,0.00029286252196468915,56
familiar_mama,3.5012496224731927e-06,4.183750313781274e-05,57
COLESTEROL_HDL_disponible,0.0,0.0,58
TENSION_ARTERIAL_DIASTOLE_disponible,0.0,0.0,59
