,mean_abs_SHAP,gain_norm,rank_shap
n_consultas_T,1.3651978,0.090732425,1
edad,1.1602515,0.030096648,2
REG_1 REG BOGOTA,0.16477683,0.029763194,3
tiempo_afiliacion,0.10868605,0.011489652,4
IMC,0.082850255,0.012659755,5
tiene_avicena,0.074282624,0.077405974,6
TENSION_ARTERIAL_SISTOLE,0.073898844,0.014945476,7
PERIMETRO_ABDOMINAL,0.07090392,0.014186048,8
TALLA,0.07059743,0.012571327,9
remision_gine,0.064275436,0.01772789,10
MENARQUIA,0.06167201,0.012389561,11
TENSION_ARTERIAL_DIASTOLE,0.061228774,0.014514016,12
REG_5 REG MEDELLIN,0.05876475,0.015647719,13
proxy_menopausia,0.0525316,0.0339536,14
REG_3 REG BARRANQUILLA,0.05092299,0.013494912,15
REG_4 REG BUCARAMANGA,0.034627788,0.015744222,16
hta,0.03443206,0.024148919,17
COLESTEROL_LDL,0.030325288,0.015855538,18
riesgo_alto,0.02680566,0.01927943,19
remision_endo,0.024467671,0.022462295,20
COLESTEROL_TOTAL,0.022239491,0.013608704,21
REG_6 REG CENTRO ORIENTE,0.021687953,0.011232536,22
TRIGLICERIDOS,0.01700676,0.01326875,23
delta_COLESTEROL_LDL,0.016249532,0.010816663,24
COLESTEROL_HDL,0.015814995,0.013967336,25
biopsia,0.015717288,0.01901144,26
dm,0.015648399,0.019703023,27
ZONA_R,0.011290867,0.017513515,28
MENARQUIA_disponible,0.008553835,0.014913923,29
HEMOGLOBINA_GLICOSILADA,0.0084770825,0.011659963,30
REG_2 REG CALI,0.008299395,0.0151588535,31
delta_TRIGLICERIDOS,0.007948813,0.010575656,32
cancer,0.007442104,0.017146522,33
delta_COLESTEROL_LDL_disponible,0.0060680714,0.02121023,34
delta_COLESTEROL_TOTAL,0.0042048492,0.011373473,35
delta_TRIGLICERIDOS_disponible,0.0040732604,0.033623684,36
FUMA_O_HA_FUMADO,0.0034159615,0.010348824,37
delta_HEMOGLOBINA_GLICOSILADA,0.0029402964,0.009553561,38
PERIMETRO_ABDOMINAL_disponible,0.0026673395,0.021221483,39
COLESTEROL_LDL_disponible,0.0026179687,0.024412692,40
riesgo_alto_disponible,0.0023688725,0.012736744,41
delta_COLESTEROL_HDL_disponible,0.0022410613,0.025539428,42
imc_disponible,0.0021362228,0.009875914,43
TALLA_disponible,0.0020206887,0.01865307,44
TENSION_ARTERIAL_SISTOLE_disponible,0.0019866694,0.010444535,45
delta_COLESTEROL_HDL,0.0019525785,0.009803031,46
ZONA_U,0.0018678993,0.021225277,47
delta_HEMOGLOBINA_GLICOSILADA_disponible,0.0013895959,0.013463134,48
delta_COLESTEROL_TOTAL_disponible,0.0012604936,0.015488927,49
COLESTEROL_TOTAL_disponible,0.00076008076,0.016419917,50
COLESTEROL_HDL_disponible,0.0001572754,0.010148435,51
HEMOGLOBINA_GLICOSILADA_disponible,0.00013401896,0.0036913215,52
ES_HA_SIDO_FUMADOR_PASIVO,0.00012606592,0.007280176,53
familiar_cancer,1.706868e-05,0.0058406834,54
TENSION_ARTERIAL_DIASTOLE_disponible,0.0,0.0,55
TRIGLICERIDOS_disponible,0.0,0.0,56
COCINA_RECINTO_CERRADO,0.0,0.0,57
familiar_cancer_mama,0.0,0.0,58
familiar_mama,0.0,0.0,59
